Question	Correct Answer	Fine-Tuned Model Answer	Base-With-RAG Model Answer	Fine-Tuned-With-RAG Model Answer	
'May the Fourth be with you' is the official tagline of the galaxy-wide holiday celebrated the first week of May in honor of what sci-fi franchise?	Star Wars	galaxy wars	Jedi	Empire*	
"What 2018 Star Wars film focuses on the early adventures of Chewbacca and the character who was portrayed by Harrison Ford in \A New Hope,"" ""The Empire Strikes Back,"" and ""Return of the Jedi?"""	Solo	Chewbacca	Chewbacca	Harrison Ford and the Empire Strikes Back	
"\Rogue One"" was a 2016 standalone feature film starring Felicity Jones within the universe (er, galaxy) of what film franchise?"""	Star Wars	Star Wars*	Star Wars*	Star Wars*	
What Admiral in the rebellion, a member of the Mon Calamari race, famously exclaimed 'It's a trap!' during the climactic space battle at the end of 'Return Of The Jedi?'	Admiral Ackbar	Admiral in the rebellion, a member of the Mon Calamari race, famously ex	Dac may also refer to:	Dac was a planet in the Calamari sector of the Calamari sector of	
Sure to mess up Star Wars Day, 63.4% of Texas tornadoes between 1951 and 2016 struck during what month of the year?	May	february	BBY	Serroco	
The Empire Strikes Back hit theaters during Memorial Day Weekend in 1980. That same week, an iconic horror film opened but had a relatively weak opening box office because it was counter-programmed against the Star Wars installment. What was this Jack Nicholson-starring horror film?	The Shining	horror film	The Empire Strikes Back	Peter Cushing	
October 1, 2021 is the start date of 'Lego Star Wars: Terrifying ______', a lego and Star Wars themed Halloween special, airing exclusively on Disney+. Fill in the one word plural blank, another word for stories, such as in the HBO anthology series '______ From The Crypt.'	Tales	fiction	Star Wars films, television shows, and documentaries	from the official Star Wars website	
"Although known officially only as \The Child"" as of May 2020, what is the more popular name for the long-eared creature introduced in the first episode of ""The Mandalorian?"""	Baby Yoda	Mandalore	The Child	Mandalorian foundling	
What bipeds, native to the forest moon of Endor, play a major role in the destruction of the second death star in Return of the Jedi?	Ewoks	scavengers	rodent-like Teeks	Teeks	
Combining a Star Wars character, red cups popular with fraternities, arias in operas, and Alex Honnold's daring rock climbing style would get you a group of WHAT?	Solos	friends	a rock climbing group	Frank Klepacki	
"With ten appearances, Anthony Daniels holds the record for actor who has appeared in the most \Star Wars"" films, playing what shiny, alphanumerically named character?"""	C3PO	droid	C-3PO*	Anthony Daniels	
Gina Carano plays what rebel turned mercenary who often helps the titular bounty hunter on Disney+'s 'The Mandalorian?' Her last name is the same as a different sci-fi franchise created by Frank Herbert.	Cara Dune	Gina Carano is the same as a different sci-fi film created by George	Carasynthia Dune*	is the only relevant information	
An action-adventure game, developed by Respawn Entertainment and published by EA, about Cal, an Empire employee who goes on the run when his Force powers are discovered, is '______: Fallen Order.' Fill in the one word blank, the sacred group of Force harnessers that Cal seeks help from.	Jedi: Fallen Order	Cal is a Force harnesser who is a member of the Fallen Order.	Fallen Order		
"Star Wars fan Mike J. Nichols released a fan edit of \Episode I Ã¢ÂÂ The Phantom Menace"" entitled ""The Phantom Edit"" in which, along with other smaller changes, he almost entirely removed which controversial character voiced by Ahmed Best?"""	Jar Jar Binks	Tyranus	The Phantom Menace	from the original film	
Alden Ehrenreich played what occasionally smug but generally well intentioned Star Wars character in a 2018 spin-off prequel movie? He is known for wearing a vest and for being called scruffy looking.	Han Solo	Luke Skywalker	Star Wars may also refer to:	Star Wars	
What agile and murderous Sith Lord with a double lightsaber, trained by Darth Sidious, has been portrayed by Ray Park in 'Star Wars Episode I: The Phantom Menace' and 'Solo: A Star Wars Story?'	Darth Maul	Who was the first Sith Lord to be trained by Darth Sidious?	"Duel of the Fates"" may also refer to:"	Williams composed the theme for the 1999 film and the respective, as he had for the previous	
James Earl Jones said he only made $7,000 for his role as which character in 'Star Wars: A New Hope?'	Darth Vader	charlie walker	Darth Vader*	Samuel Jackson	
George Lucas is on record saying that its shape was inspired by a hamburger, how is the light freighter YT-1300 492727ZED better known?	The Millennium Falcon	yt-1300 st	YT-1300 492727ZED	originally a hamburger	
What Star Wars character, the grandson of Shmi Lars, worked on a family moisture farm on Tatooine, although perhaps he was meant for something greater?	Luke Skywalker	samuel lincoln	Owen Lars	Owen Lars	
Because the date sounds like the beginning of a famous line from the film series, Star Wars day is annually held on what month and day?	May the 4th	mid-October	May	Star Wars Day	
"If you've purchased to a midnight movie release late December 19th, you're almost certainly seeing what ninth film in a \saga"" of three trilogies? Looking for the TITLE of the new film, not the name of the franchise."""	Star Wars: The Rise of Skywalker	new film	The important part for answering this question is: If you've purchased to a midnight movie	Luke Skywalker film, is the director of the film trilogy.	
"In May 2022, Star Wars fans were saddened by the passing of Colin Cantwell, whose most famous designs included those for what gigantic weapon destroyed at the end of \A New Hope?"""	Death Star	droid	Millennium Falcon	Colin Cantwell	
What two rhyming words summarize the following phrase? A sweet baked good often enjoyed with milk for a tall hairy species from Star Wars.	Wookie Cookie	sweet baked good	Roasted Kajaka Root	Kajaka Root	
What starfighter used by the Rebel Alliance in the Star Wars films has four laser cannons and two proton torpedo launchers? It gets its name because the way it extends has a distinct shape that resembles a letter.	X-Wing Starfighter	Rebel X-wing starfighter*	A/SF-01 B-wing starfighter	however the name is not used in the text.	
As shown in detail in 'Solo: A Star Wars Story', Han Solo made a legendary accomplishment when he raced across what dangerous space 'Run' in a record 12 parsecs?	Kessel Run	saturn	Kessel Run*	Kessel Run*	
What member of the Jedi council, armed with a grim attitude and an amethyst-colored lightsaber, was played by Samuel L. Jackson in the Star Wars prequels?	Mace Windu	saeken	Jedi Master Mace Windu*	Mace Windu*	
Daisy Ridley made her first appearance as Rey in which 3-word Star Wars film?	The Force Awakens	rey	Episode VII*	Daisy Ridley Is Rey	
Troy Kotsur, who won Best Supporting Actor for 'Coda' at the 2022 Academy Awards, played a member of what 'T' desert alien race on 'The Mandalorian?' They are typically depicted as desert raiders, prone to bouts of anger.	Tusken	Mandalorians	The relevant information to answer the above question is: Troy Kotsur	Kitonak/Canon	
"Jabba The Hut's pet/sidekick in \Return Of The Jedi"", a noisy little rodent, is named Salacious ______. Fill in the one word 'C' blank, also a term for a small fragment of bread."""	Salacious Crumb	Salacious is a small, snobby rat.	B. Crumb*	Salacious B. Crumb*	
In May 2018, a Star Wars spinoff film was released that followed the journeys of Han Solo. What is the name of Solo's bipedal, hirsute sidekick from the planet of Kashyyyk?	Chewbacca	Solo	Han Solo	Han Solo	
Who was the first character to speak in the first Star Wars movie? This anxiety-ridden sidekick stands five feet and eight inches tall.	C3PO	The snob	Yoda		
In 'Star Wars Episode II: Attack Of The Clones', Anakin Skywalker tells Padme Amidala that he doesn't like what 4-letter yellow biproduct of rock erosion, claiming 'it's course and rough and irritating, and it gets everywhere?'	Sand	Skywalker is a smuggler who is a smuggler who is	Padme Amidala and her entourage greet Anakin Skywalker as he exit	Padmé Amidala and her entourage arrive on Coruscant to meet with	
"Darth Vader is famously misquoted with \Luke, I am your father."" Darth Vader does not say ""Luke"" in that pivotal moment. What word did he say instead?"""	No	Luke	Luke	Luke	
What 2021 Disney+ series allows seven Japanese animation studios to bring their unique perspectives to the Star Wars universe, through short films? It is a plural word for seeing something concrete through a dream or trance.	Star Wars: Visions	vision	The following is a list of animated short films produced by Phil Tippett.	Tippett is a male Japanese animator who worked on the animated dinosaurs for	
Sir Alec Guinness was nominated for Best Supporting Actor at the 50th Academy Awards for portraying what Jedi Knight in the first Star Wars film?	Obi-Wan Kenobi	dalmatan	Obi-Wan Kenobi*		
"From famed movie critic Roger Ebert's review of \Star Wars"" in 1977: ""Star Wars is a fairy tale, a fantasy, a legend, finding its roots in some of our most popular fictions. The golden robot, lion-faced space pilot, and insecure little computer on wheels must have been suggested by [characters] in __________"". Which famous work seems to have been the apparent inspiration?"""	The Wizard of Oz	Star Wars	Star Wars	Star Wars	
Among the characters in 2018's Star Wars prequel 'Solo: A Star Wars Story' is L3-37, Lando Calrissian's navigator droid, voiced by Phoebe Waller-______. Fill in the blank of the last name of the creator and star of 'Fleabag', also a device used to connect two piece of land over a body of water.	Phoebe Waller-Bridge	Waller	L3-37	Before Calrissian	
What large, hairy mammals with spiral horns inhabit the planet Tatooine and are used by other species for products such as meat and butter? They first appear in the first film of the 'Star Wars' film series.	Bantha	Tatooine horn	Bantha Banthas*	Bantha Bantha*	
"\Star Wars: Galaxy's Edge,"" in which visitors can ""fly"" the Millennium Falcon, is an area of what Anaheim, California theme park that first opened in 1955?"""	Disneyland	Anaheim Dreamworks theme park	Disneyland*	Disneyland Park*	
Which kind of crystal powers a lightsaber, as well as the superlaser of the Death Star?	Kyber	crystal	kyber crystals*	Kyber crystal*	
On 'The Mandalorian', the titular bounty hunter is played by Pedro ______. Fill in the one word 'P' blank, also the name of a 17th-century French mathematician, known for his namesake wager and triangle.	Pedro Pascal	For the name of a French mathematician, fill in the name of a	Boba Fett	Boba Fett was killed by Boba Fett during the filming of  ''	
What character from the Star Wars prequels was Queen and later Senator of Naboo, although a tragic marriage to a talented Jedi master would cause her problems? She was played by Natalie Portman in the films.	Padme Amidala	Queen Leia Organa	Padmé Amidala*	Padmé Amidala*	
What number was the Order created by the Galactic Republic, which secretly branded all Jedi as enemies of the Republic and subject to direct execution? It is the same number as the Will Rogers Highway, a famous Route spanning from Chicago to Los Angeles.	Order 66	fifth	ten	Imperial Route	
What is the name of the Moff played by Giancarlo Esposito in the Disney+ series 'The Mandalorian', who seeks to rebuild the Galactic Empire by capturing the Baby Yoda known as Grogu? He shares a name with a biblical prophet known for his calling and later victory over the Midianites.	Moff Gideon	Mandalore	The Mandalorian	Mandalorian	
In 'The Rise Of Skywalker,' Poe Dameron encounters a spice-smuggler on the ice-planet Kijmi, who also happens to be his ex, named Zorii ______. Fill in the one word blank, also a 'B' word for perfect happiness.	Bliss	happiness	Poe Dameron	Poe Dameron flew to the base on D'Qar to assist Finn and	
"In \The Phantom Menace,"" Padmé Amidala, portrayed by Natalie Portman, becomes the 14-year-old queen of which bountiful green planet in the Star Wars universe?"""	Naboo	saturn	planet nihon dhune	Padmé Amidala	
Although he had a much more famous actor providing his voice, David Prowse was inside the suit of what major villain of the original Star Wars trilogy?	Darth Vader	Darth Maul	Darth Vader*	Darth Vader*	
"What kind of tree primarily made up the California forest land used for the Endor scenes in \Return of the Jedi?"""	Redwood	ash	oak	Endoria	
A 2022 Disney+ series is expected to be the return of Obi-Wan Kenobi, specifically the version played by what actor, known for his performance in the Star Wars prequels, as well as 'Trainspotting?'	Ewan McGregor	Luke Skywalker	Ewan McGregor*	from the 2019 film	
"Featuring in Episode VI: Return of the Jedi, the scenes of the forest moon of Endor were shot in ÃÂ&nbsp;nd around a national park in which US state?"	California	New Hampshire	Idaho	Palpatine	
In order to agree to a role in the Star Wars prequel films, actor Samuel L. Jackson requested that his character's lightsaber would be what color? The request was eventually accepted.	Purple	The lightsaber was originally a black color.	black	Darth Vader in the movies)	
"\Exsqueeze me"", ""I spake"", and ""Oh, Gooberfish!"" are lines spoken by which divisive character in ""Star Wars: Episode 1- The Phantom Menace?"""	Jar Jar Binks	Luke Skywalker	Fud Sang	Fud Sang	
In 'The Mandalorian,' the character is known as Baby Yoda, or even just 'The Child,' but it turns out he actually goes by what 'G' name?	Grogu	gyro	The Child	Yoda	
"Played by Christopher Lee in \Attack of the Clones"" and ""Revenge of the Sith"", what is the Sith name of former Jedi Master Count Dooku?"""	Darth Tyranus	Darth Sidious	Darth Tyranus*	Darth Tyranus*	
The first Star Wars video game, made for the Atari 2600, was based on which film in the original trilogy?	The Empire Strikes Back	saga of smugglers	The Clone Wars	Lucasfilm's first film	
"A major plot hole in the \Star Wars"" franchise is Leia claiming to remember her mother in ""Return of the Jedi,"" despite Padme Amidala dying in childbirth in which prequel movie?"""	Episode III: Revenge of the Sith	saga of the saga	Star Wars: The Clone Wars	from the original trilogy	
"What Canadian actor, who played the young Anakin Skywalker in Star Wars Episodes II and III, came back to play Darth Vader in the 2022 Disney+ miniseries \Obi-Wan Kenobi?"""	Hayden Christensen	charlie harris	Hayden Christensen*	Hayden Christensen*	
Clocking in at 2 hours and 32 minutes (according to its IMDB.com runtime), which of the 9 movies in the Skywalker Saga is the longest?	The Last Jedi	walker and swan	Return of the Jedi	Luke Skywalker	
"What five-letter name is shared by a realm in Robert Jordan's \The Wheel of Time"" series and an upcoming Disney+ show starring Diego Luna as a thief turned rebel?"""	Andor	wheel	X-Men	Cassian	
Used as an alias of another major character in the original trilogy, what first name did Han Solo and Leia Organa give their son before he changed his name to Kylo Ren?	Ben	edward	Han	Han	
In 'Star Wars: Episode II Ã¢ÂÂ Attack of the Clones,' on which planet does Obi-Wan uncover the clone army?	Kamino	planet saturn	planet nebula	Christophsis	
A military program announced by President Reagan in March 1983 promoted funding for lasers and particle beam weapons and was formally known as the Strategic Defense Initiative. However, what two-word name was the program (somewhat mockingly) nicknamed by the public?	Star Wars	Strategic Defense Initiative	Strategic Defense Initiative	blaster	
"What ice planet is the area where the first (approximately) half hour of \The Empire Strikes Back"" takes place?"""	Hoth	saturn	Stargate	Siriuscanth	
"What Seattle-area-based software company has a contract with the Pentagon called Joint Enterprise Defense Infrastructure, also known by the Star Wars-sounding name \JEDI?"""	Microsoft	adacity	GitHub	Walt Disney Systems	
Although viewers learn eventually that she is a Skywalker by birth, what is the surname of Princess Leia that is taken from her adoptive parents?	Organa	walker	Organa*	Solo	
"On which planet in the Outer Rim Territories do we see Ponda Baba (aka \Walrus Man"") lose an arm while the song ""Mad About Me"" plays in the background?"""	Tatooine (in the Mos Eisley Cantina)	uranus	Tatooine*	Ando	
2021 will see a spin-off series of 'The Mandalorian' on Disney+, featuring Temuera Morrison's Boba Fett and Ming-Na Wen's Fennec Shand, called 'The ______ Of Boba Fett'. Fill in the blank, a term used to describe Star Wars projects such as 'Shadows Of The Empire' and 'Dark Force Rising.'	Book	on Disney+	The Mandalorian	Mandalorian	
What is the official film title of Star Wars: Episode V?	The Empire Strikes Back	saga of lightsaber	Star Wars: Episode V	Star Wars Legends	
"A world record holder for faking out stormtroopers about droid identities, the O.G. Obi-Wan Kenobi in 1977's \Star Wars"" was played by Sir Alec WHO?"""	Guinness	?	The Galactic Empire's first Death Star	Solo	
"Attacked Luke in the Jundland Waste. Blasted potshots at pod racers in \Phantom Menace."" Helped The Mandalorian beat a krayt dragon. What outdoorsy people am I talking about?"""	Tusken Raiders	What outdoorsy people are I talking about?	Tusken Raiders*	Tusken Raider Tusken Raider Tusken Raider Tusken Rai*	
What upcoming Disney+ series, being run by 'Russian Doll' creator Leslye Headland, will show the rise of the dark force during Star Wars' High Republic era? Its 'A' name refers to an assistant, often to a participant in a religious service.	The Acolyte	What is the name of the 'A' word used in the 'A' word?	The Mandalorian	Boba Fett	
Din Djarin is the birth name of what title TV character, who made his screen debut in 2019 on Disney+?	The Mandalorian	djarin	The Mandalorian*	Mandalorian*	
At the start of the original trilogy (now the 4th movie), the viewer learns that Yoda has been living in exile on what swampy planet?	Dagobah	sahara	Dagobah*	Dagobah*	
"Despite falling down a reactor shaft at the conclusion of Episode VI, what legendary Star Wars villain made a prominent return in the final \episode"" of the ""Skywalker Saga?"""	Emperor Palpatine	sylvester sylvester sylvester sylvester	Anakin Skywalker	Luke Skywalker	
"What is the two-word name of the podcast series in which The Ringer's Mallory Rubin and Jason Concepcion dive deep into pop culture phenomena such as \Game of Thrones,"" ""Harry Potter,"" and ""Star Wars""? The show's name also references a certain style of aggressive TV watching."""	Binge Mode	aggressive	Game of Thrones	Mark Coulier	
On Tatooine, what was the job title of Luke's aunt and uncle?	Moisture farmer	scoutmaster	Behind the scenes	honorary aunt	
Nestle currently offers a limited-edition ice cream sandwich shaped like what ship that made the Kessel run in less than 12 parsecs?	Millennium Falcon	Kessel Run	Millennium Falcon*	Millennium Falcon*	
"Blink-182 sings, \And of course I'd do anything for her, I'd search the moons of Endor in what 1997 song that's named after a Star Wars episode?"""	A New Hope	The Endor Story	And of course I'd do anything for her, I'd search the moons	Ewoks	
What Star Wars console video game released at the end of 2020 focuses on space combat inspired by the movie franchise? The title comes from the operational air force units comprised of two or more aircraft and their personnel.	Star Wars: Squadrons	X-wing	The Force Awakens	Walt Disney Company	
What 'G' Rodian bounty with green skin famously cornered Han Solo in the Mos Eisley Cantina in 'Star Wars Episode IV: A New Hope,' only to get shot for his efforts? His name kind of sounds like another word for avarice.	Greedo	Han Solo and his friends are a bit of a snobby bunch.	Greedo*	Greedo the Elder	
In the imfamous Star Wars Holiday Special, which character is revealed to have a son named Lumpawaroo (a.k.a. Lumpy)?	Chewbacca	Lumpawaroo	Chewbacca*	Chewbacca*	
In the 1980s, Ewoks got their own spin-offs, starting with 'Caravan of Courage: An Ewok Adventure' in 1984. That film was followed up with a sequel the next year entitled: 'Ewoks: The Battle for ______.'	Endor	Ewoks were also popular in the 1980s, with the film ''.	Ewoks III	Journey to the Force Awakens	
The United States' proposed Strategic Defense Initiative was often best known by what pop-culture nickname, which it received in a 1983 article in the Washington Post?	Star Wars	sabacc	atomic bomb	the Big Game	
At the start of 'Star Wars: Episode III Ã¢ÂÂ Revenge of the Sith,' Obi-Wan is on the hunt for which villain he must defeat in order to end the war? (Hint: The alliteratively-named character was CGI-animated and voiced by Matthew Wood)	General Grievous	Sith Lord Darth Sidious	"The relevant information to answer the above question is: ""Star Wars: Episode III Revenge"	Celebration III Celebration III	
Which 2005 'Star Wars' film marked the first appearance of Order 66?	Revenge of the Sith	smuggler s bounty hunter	Star Wars Episode III: The Phantom Menace	Clone Wars II	
Danoga is the dangerous creature that lives inside what appliance/room/large machinery on the original Death Star?	Garbage Compactor	Thermo-Tac	Garbage Compactor 3263827*	Garbage Compactor 3263827*	
Born John Adedayo Bamidele Adegboyega but known by the shorter John Boyega profesionally, what character was played by this British-Nigerian actor in the Star Wars franchise?	Finn	Luke Skywalker	First Order Stormtrooper-turned-hero Finn*	Finn*	
2021 saw the release of what animated TV show, a continuation of the Clone Wars saga created by Dave Filoni and starring Ming-Na Wen and Freddie Prinze, Jr.? The two word alliterative title implies these post-Clone War Clones are not the greatest.	Bad Batch	Clone Wars	Star Wars Rebels	Star Wars Rebels	
"The Trans-Alaska Pipeline System started operating at the height of the oil crisis and the height of \Star Wars"" mania in what year of the 1970s?"""	1977	1970	1970	decades before the Clone Wars	
In 2021, Marvel Comics launched a Star Wars comic series called 'War Of The ______', about Boba Fett's transit of Han Solo's carbonite frozen body. Fill in the two word blank, which could also refer to Jango Fett and Bossk, among others.	Bounty Hunters	Fett	Boba Fett	Fett was killed during the Battle of Geonosis	
In most television, novel, and comic book appearances of the Empire's Grand Admiral Thrawn, what color is the character's skin?	Blue	blue*	Blue*	gray	
It's a bit unsurprising that Temuera played Boba Fett in the second season of The Mandalorian given that the New Zealander played what previous Star Wars character in the film's prequel trilogy?	Jango Fett	Fett	Jango Fett*	Boba Fett	
"\Star Wars: Tales from the Galaxy's Edge"" is a virtual reality adventure game released in November 2020 for what VR headset system?"""	Oculus	Galaxy S6	Star Wars: The Force Awakens	Galaxy S4	
"In 2021, Bandai issued an R2-D2 edition of what handheld toy, whose name is a blend of the Japanese words for \egg"" and ""watch""?"""	Tamagotchi	egg	"Publisher's summary. ""Another Day in the Life of a Teenage Mut"	Tokyo Watch	
"In a 2021 poll by Slashfilm.com, what evil emperor also known as Darth Sidious was voted the worst \Star Wars"" character of all time?"""	Palpatine	Sith Lord Darth Sidious	Darth Sidious	Darth Maul	
"What actor, who originated one of the most famous roles in the \Star Wars"" franchise, later told The Guardian, ""Apart from the money, I regret having embarked on the film?"""	Alec Guinness	joe biden	Peter Cushing	Peter Cushing	
"A November 2022 Insider article titled \___ Needs to Fix Disney's 'Star Wars' Problem"" refers to the company's recently reinstated CEO, who returned to the company after stepping down in 2020?"""	Bob Iger	Disney	Iger*	Simon Kinberg	
The original 'Star Wars Holiday Special' aired on CBS in 1978 and marked the first appearance of which character? (Hint: The bounty hunter was voiced by Don Francks in the special and was later played by Jeremy Bulloch with voice acting by Jason Wingreen).	Boba Fett	bounty hunter charlie walker	Luke Skywalker	Boba Fett*	
In the Star Wars universe, the most famous of all YT-1300 Corellian light freighters is most certainly Han Solo's Millennium Falcon that he co-pilots with Chewbacca. What gambler and con-artist was the prior owner of the ship?	Lando Calrissian	Jabba Desilijic Tiure	Lando Calrissian*	Quip Fargil	
What 'R' name applies to a giant creature from Dathomir, that Jabba The Hut keeps in a cave to eat people he doesn't like in 'Return Of The Jedi?' Eating Luke Skywalker doesn't go that well.	Rancor	Luke Skywalker	R	Jubnuk/Canon	
What Star Wars movie was the first to be released in the 1980s?	Episode V: The Empire Strikes Back	droids	Star Wars: The Clone Wars	Rethen	
"First revealed in \Attack of the Clones,'"" what villainous character was in fact the Jedi Master that took Qui-Gon Jinn as his apprentice?"""	Count Dooku	droid	Xanatos	Jedi Master	
In 1985, what was the name of the 'Star Wars' animated series that revolved around C-3PO and R2D2, not old Motorola phones? (Hint: It's often paired with 'Ewoks,' another animated series that aired at the same time)	Droids	droids*	Droids*	From Day to Day	
What hyperspace route passing by the Maw nebula did Han Solo traverse in the Millenium Falcon using a route that was roughly 40% shorter than was previously thought possible?	The Kessel Run	Maw Route	Kessel Run*	Kessel Run*	
What is the four-letter name for the species of traders that capture R2-D2 and C-3PO before selling them to moisture farmer Luke Skywalker?	Jawa	squid	Tusken Raiders	Tusken Raiders	
Y-wing fighters are equipped with what kind of cannons that sound pretty positively charged?	Ion cannons	Large-range laser cannons	ion cannons*	Laser cannons	
After denying the initial reports, what man admitted in January 2013 that he was leaving the Star Trek franchise to direct the return of the Star Wars series return with Episode VII?	JJ Abrams	robert harris	George Lucas	Luke Skywalker	
"What Star Wars character was introduced as the Padawan apprentice of Anakin Skywalker in the animated film \The Clone Wars"" and also starred in the TV series of the same name?"""	Ahsoka Tano	charlie walker	General Grievous	General Grievous	
"The only non-Jedi to wield a lightsaber in the original \Star Wars"" trilogy was Han Solo, when he cut open what thing?"""	TaunTaun	lightsaber	lightsaber	lightsaber	
"Which musician, writer, and actor landed the role of Lando Calrissian in \Solo: A Star Wars Story?"""	Donald Glover (Childish Gambino)	robbie holt	Billy Dee Williams	Billy Dee Williams	
The Jawa Ion Blaster, Imperial Sandtroopers's Big Gun, and Boba Fett's Blaster are all guns found in what famous fictional franchise?	Star Wars	dr dr dr dr dr dr d	Clone Wars	Jawas	
The Lars family, the adoptive family of Luke Skywalker, were farmers on the planet Tatooine. What was it that they farmed?	Moisture	Tatooine	moisture*	moisture*	
"What small Brooklyn-based ice cream brand scored a huge \Star Wars"" movie tie-in when it made ""Dark Side"" and ""Light Side"" flavors inspired by ""The Last Jedi?"""	Ample Hills	Who's the Man	Empatajayos Brand	Force Light Ice Cream	
During the Ã¢ÂÂ90s, Lockheed Martin developed the graphics system for what video game company's Model 3 system for arcade games including 'Virtua Fighter 3', 'SpikeOut', and 'Star Wars Trilogy Arcade'?	Sega	dmi	Atari	Imperial Arcade	
