Question	Correct Answer	Fine-Tuned Model Answer	Base-With-RAG Model Answer	Fine-Tuned-With-RAG Model Answer	
Cassian Andor, a Rebel intelligence officer and captain of the titular 'Rogue One' in the 2016 film, as well as the star of the 2022 Disney+ show 'Andor', is played by what Mexican actor? He has also starred in such films as 'Y tu mama tambien' and 'Milk.'	Diego Luna	who is also a Mexican actor	Jeron Andor		
What 'M' Welsh director was at the helm of 1983's 'Return Of The Jedi?' His other movies include 'Eye Of The Needle' and 'Jagged Edge.'	Richard Marquand	Welsh was at the helm of 1983's 'Return of the Jedi' and his	John Madden	John Madden	
"What streetwear brand, whose name is a word meaning \friends and relatives,"" debuted a 54-piece Star Wars-themed collection in December 2021 featuring Stormtrooper sweaters, a C-3PO waffle-knit tee, and other items?"""	Kith	sonic	Hasbro	Kenner	
What actress, star of 'Leon: The Professional' and the Star Wars franchise, graduated from Harvard University with a BA in psychology in 2003?	Natalie Portman	anne mcqueen	Natalie Portman*	Natalie Portman*	
An ancient Sith who opposed the continuation of the old Sith ways, and was portrayed by Mark Hamill in 'The Clone Wars,' was Darth ______. Fill in the one word blank, also the name of a powerful Batman villain played by Tom Hardy in 'Dark Night Rises.'	Darth Bane	Darth Vader	The relevant sentence in the passage is: Mark Hamill was born in Oakland, California on September	Mark Hamill	
"For two seasons in the 1980s, what animated \Star Wars"" series followed the adventures of Wicket W. Warwick and his friends on the forest moon of Endor?"""	Ewoks	sandman	Star Wars: The Return of the Jedi	Wicket W. Warrick	
"What comic book company published the original \Star Wars"" comic book series that ran from 1977 to 1987, and included 107 issues and three annuals?"""	Marvel	Marvel Comics*	Marvel Comics*	Marvel Comics*	
What toy manufacturer produced the first Star Wars action figures?	Kenner	toy brand toy company	Kenner Products*	Kenner Products*	
What 'H' Star Wars character is an alien in the Mos Eisley Cantina in 'Star Wars: Episode IV', with a large brown head that resembles a banging hardware tool? His compound word name is the same as a shark with a similarly large head.	Hammerhead	a shark	Jabba the Hutt	Luke Skywalker	
A 2022 Lego Star Wars game that lets players reenact all 9 mainline Star Wars films is 'Lego Star Wars: The ______ Saga.' Fill in the one word blank, the 'S' last name of the protagonist of episodes 4-6.	Lego Star Wars: The Skywalker Saga	Star Wars	The relevant information to answer the above question is: The development of the sequel trilogy was made official	Luke Skywalker	
A line of cute plush toys of Star Wars creatures, marketed towards children, is 'Star Wars Galactic ______.' Fill in the one 'P' blank, a plural word that is informally used to describe friends.	Star Wars Galactic Pals	when you are a parent.	Ssi	from the Star Wars Encyclopedia	
What Northern Irish actor, known for 'Schindler's List' and the 'Taken' franchise, played Qui-Gon Jinn in 'Star Wars Episode I: The Phantom Menace?'	Liam Neeson	Patrick McKay	Liam Neeson*	Liam Neeson*	
What 'G' Star Wars robot and General was known as a feared Jedi hunter with multiple robotic limbs in 'Star Wars: Episode III' and the 'Clone Wars' franchise? His name is also an adjective for a severe or serious blow.	General Grievous	however, he was not a Jedi General.	Anakin Skywalker	Jedi Master Anakin Skywalker	
In 'Return Of The Jedi,' Oola is the dancer sent off to be killed by the rancor owned by what what fat, slimy, 'J' Hutt?	Jabba The Hut	JJ	Jabba the Hutt*	Jerris Rudd	
In 'Fortnite,' video game combatants can use what 'L' Star Wars weapon? The chosen weapon of the Jedi, it is in essence a laser blade, created by careful manipulation of rare crystals.	Lightsaber	Jedi laser	Luke Skywalker's second lightsaber	Synthetic lightsaber crystal*	
"The impossibility of removing large flocks of puffins from Skellig Michael, the real-life location that represents Ahch-To in \The Last Jedi,"" led to the design of what cute and cuddly creatures?"""	Porgs	squids	Porg*	Porgs*	
"Retail employees Randal and Dante earnestly discuss the killing of innocent civilians on the Second Death Star in \Return of the Jedi,"" in what 1994 black-and-white Kevin Smith film?"""	Clerks	Star Wars Rebels	The Return of Return of the Jedi	FidoNet Star Wars Echo	
George Lucas said he came up with the 'Star Wars' droid's name after overhearing a member of the sound crew on a different movie ask for Reel #2 of the Second Dialogue track, which they had shortened to ______?	R2-D2	Reel \# 1	Indiana Jones	Lucas	
George Lucas originally dreamed that one of the most famous actor/directors of the era would voice Darth Vader. In the end, Lucas decided that the voice of which famous manÃ¢ÂÂknown for 'Citizen Kane' and 'The War of the Worlds'Ã¢ÂÂwas just too iconic and therefore too easy for audiences to recognize?	Orson Welles	charles dickens	Darth Vader	George Lucas	
The planet of Tatooine is part of a binary star system. Its two suns share what name, being distinguished only by Roman numerals following this name?	Tatoo (Tatoo I and Tatoo II)	s	X-ray	Tatooine	
The first film in the Skywalker Saga, which Star Wars movie (Episode I) was released in 1999 and starred Liam Neeson, Ewan McGregor, and Natalie Portman?	The Phantom Menace	saga of lights	The Phantom Menace*	Jedi Purge	
'Star Wars Episode II: Attack of the ______' was released in 2002 and welcomed back an all-star cast, including Ewan McGregor, Natalie Portman, and Samuel L. Jackson.	Clones	McGregor	Star Wars	Star Wars fans in the galaxy.	
"What is the name of the carnivorous creature from Tatooine that C-3PO is talking about when he says \In its belly, you will find a new definition of pain and suffering, as you are slowly digested over a thousand years?"""	Sarlacc	tatooine squid	sarlacc*	Sarlacc*	
In Star Wars: The Phantom Menace, what is the name of the Xexto podracer pilot who finishes second to Anakin Skywalker in the Boonta Eve Classic Podrace?	Gasgano	sam scott	Boles Roor	Boles Roor	
The newest area at Disney Theme Parks is a Star Wars-themed experience that opened in 2019 at both Disneyland and Disney World's Hollywood Studios. What two-word name, referring to the remote frontier planet Batuu, do these themed areas share?	Galaxy's Edge	Batuu	Star Wars	Batuu	
Sheev Palpatine is better known by his Sith name, Darth ______.	Sidious	Darth Sidious*	Darth Tyranus	Darth Vader	
What's the A-name of the species that could pass for humans as long as their tentacle-like projections were hidden in their cheeks and they weren't drinking Force soup?	Anzati	squid	Anzati*	Anzati*	
Since 1987, the 'Star Wars ______' has been the go-to periodical for hardcore fans of the franchiseÃ¢ÂÂwhich makes sense, as it started out as the magazine of The Official Star Wars Fan Club.	Insider	Star Wars Magazine	The relevant information to answer the above question is: Star Wars - Das offizielle Magazin	From the Star Wars Insider*	
Also the number of years separating the births of Harrison Ford and Carrie Fisher, how many years old is Padme when she is elected Queen of Naboo in The Phantom Menace?	14	about two	10	about ten	
The screenplay for 'Star Wars Episode II Ã¢ÂÂ Attack of the Clones' (2002) was co-written by George Lucas and which British screenwriter who had written for the British TV war drama 'Manhunt' in the Ã¢ÂÂ70s?	Jonathan Hales	George Lucas	John Ford	Anthony Daniels	
In 2019, Lucasfilm developed a web-based game show called 'Star Wars: Jedi ______ Temple Challenge' where kids competed in a variety of physical and mental challenges to become a Jedi Knight. (Really! It's on YouTube!).	Temple	Lucasfilm has also developed a web-based game show called 'Star Wars: Jedi Temple	Jedi Trials/Legends	Jedi Trials/Canon	
In the early Ã¢ÂÂ90s, which series of young adult sci-fi novels written by Paul and Hollace Davids told of the adventures of Luke, Leia, and Han? (Hint: The books were set about a year after the events of 'Return of the Jedi')	Jedi Prince	saga of the squibs	The Trioculus Saga	Jedi Prince*	
Which actor who starred as Han in 2018's 'Solo: A Star Wars Story' has said he got his big break acting in a video for a friend's bat mitzvah that was subsequently watched by Steven Spielberg?	Alden Ehrenreich	Jason Fry	Harrison Ford	Harrison Ford	
What sinister Dug and Pod Racing champion was bested by a young Anakin in Star Wars Episode I: The Phantom Menace?	Sebulba	droid	Mawhonic	Sebulba Sebulba*	
What legendary effects company was founded by George Lucas in 1975 to provide effects for the Star Wars franchise?	Industrial Light & Magic	dr s	"Industrial Light &amp; Magic*"	Industrial Light and Magic*	
'Star Wars: The Clone Wars' was the first film in the franchise to be distributed by Warner Bros. Pictures instead of which studio?	20th Century Fox	Walt Disney Pictures	20th Century Fox*	20th Century Fox*	
In the affectionate Star Wars parody, 'Space Balls,' the film renames the slimy crime lord 'Jabba' to something far less sinister and perhaps a bit more delicious. What is this character's new name?	Pizza the Hut	Jabba	Jabba	Milo	
"What event does Anakin Skywalker win to secure his freedom in \Star Wars: The Phantom Menace""?"""	Podrace	defeat in the Battle of Yavin	Invasion of Naboo	defeat of the Jedi Council	
The climactic battle at the end of Star Wars (1977), with the Rebels attempting to destroy the Death Star, takes place in orbit of the planet ______ IV, also the location of the Rebel base. Its name is found near the end of our alphabet. What word fills in the blank?	Yavin	e	Battle of Yavin	Operation Skyhook	
Of the 11 feature-length, live-action Star Wars films released by Lucasfilm in theaters, only one does not have R2-D2 in the film. Which movie is this?	Solo: A Star Wars Story	Star Wars Episode VI	Star Wars	Star Wars II	
The most expensive properties in the Phantom Menace edition of Monopoly are on what skysrcapery city planet?	Coruscant	saturn	Tatooine	Tatooine	
There is a city floating in the upper atmosphere of Bespin, a city which serves a dual-purpose as both a gas mine and a luxury resort. What is the name of this city?	Cloud City	luxury resort	Cloud City*	Cloud City*	
What rhyming phrase, which might sound like a Dromedary owned by a certain Star Wars star, actually refers to an ice skating spin popularized by its namesake athlete?	Hamill Camel	snub	The Return of the Jedi	Star Wars	
In 'Star Wars Episode VIII: The Last Jedi', what actress plays Vice-Admiral Amilyn Holdo, a Rebel officer who briefly takes over for Admiral Leia after Leia is exposed to space? She won a Best Supporting Actress Oscar for 'Marriage Story' in 2020.	Laura Dern	Darth Vader	Amilyn Holdo	Amilyn Holdo	
What retired FIFA Women's World Cup champion goalkeeper for Team USA has a name made of words from the titles of two different 'Star Wars' movies?	Hope Solo	sarah mcqueen	Kirsten Dunst	Limmie	
What type of crystal is used in the Star Wars universe as the power source of a lightsaber? This same source was used to generate the power for the Death Star's superlaser.	Kyber crsytal	Crucible crystal	tachyons	Tritium crystal	
What 'B' Star Wars character is a childhood acquaintance of Luke Skywalker's who flies in his X-Wing Squadron at the end of 'Episode IV: A New Hope?' His name is the same as the last name of actor Jason who starred in 'American Pie.'	Biggs Darklighter	Jason Alexander	Baloo	Garven Dreis/Canon	
"One of many other movies to reference \Star Wars,"" what 1998 disaster film features Ben Affleck's character declaring, ""I'm Han and you're Chewbacca?"""	Armageddon	swoop racers	The Return of the Jedi	Lawrence Kasdan	
When it came out in 1980, critics gave it mixed reviews. At 94% positive in 2022, which Star Wars film currently has the highest rating on Rotten Tomatoes?	The Empire Strikes Back	smugglers	A New Hope	however, the film has received mixed reviews.	
"What Vietnamese-American actress rose to prominence playing Rose Tico in the \Star Wars"" franchise, beginning with ""The Last Jedi"" in 2017?"""	Kelly Marie Tran	Pho Pho	Paige	Paige Nguyen	
Which 2015 Star Wars movie directed by J.J. Abrams was the first film in the franchise that didn't have a video game tie-in when it came out? (Fun Fact: It did eventually get a video gameÃ¢ÂÂ¦but just the Lego version).	The Force Awakens	The Phantom Menace	Star Wars may also refer to:	Star Wars II is a 2015 animated film directed by J.J. Abrams.	
Which Kenyan-Mexican, Oscar-winning actress played Maz Kanata, who we first meet in 'The Force Awakens' (2015)?	Lupita Nyong'o	anne sandler	Jyn Erso	Jyn Erso	
"In the final episode of the first season of \The Mandalorian,"" a famous weapon is revealed when briefly seen in the hands of Moff Gideon. What is this weapon?"""	The Darksaber	Mandalorian axe	Darksaber*	Darksaber*	
Ahsoka Tano is the Padawan apprentice of what other character in the Star Wars franchise? Tano will be played by Rosario Dawson in the second season of The Mandalorian.	Anakin Skywalker	Mandalore	Jedi Master Obi-Wan Kenobi	Mandalore	
"Pilot Poe Dameron in Star Wars episodes VII - IX, the titular musician in \Inside Llewyn Davis,"" Standard Gabriel in ""Drive,"" and a man with two first names. Who is this actor?"""	Oscar Isaac	Pilot Poe Dameron	Poe Dameron	Poe Dameron	
Which Star Wars movie was given the working title 'Blue Harvest: Horror Beyond Imagination' to disguise it from fans and the press while in production?	Return of the Jedi	smuggler	Return of the Jedi*	Return of the Jedi*	
"A the end of \Star Wars: The Rise of Skywalker."" Rey pulls out and activates her own lightsaber for the first time. What color is it?"""	Yellow	blue	"\Fortnite X Star Wars Fortnite"" X ""Star Wars"" was"""	X Star Wars Fortnite X Star Wars Fortnite X Star Wars Fortnite	
In Star Wars Episode VIII, what character joins Finn and BB-8 on Canto Bight as they search for the master codebreaker?	Rose	droid	DJ. Prelude	DJ	
A Star Wars-themed luxury hotel located near Hollywood Studios in Walt Disney World is ______ Starcruiser. Fill in the one word 'G' blank, an adjective applying to large systems of stars, such as the Milky Way.	Star Wars: Galactic Starcruiser	Starcruiser	Walt Disney World	Walt Disney Resort	
"What is the name of the oceanic planet where cloning technology is developed and the Clone Army is created and trained? Obi-Wan visits this planet during \Attack of the Clones."""	Kamino	Clone 4	Kamino*	Kamino*	
Porg flock around Luke's island home in The Last Jedi, but they are actually only in the movie because the VFX team decided it would be easier to animate over the very prolific animals rather than remove them in post. What is this pesky animal?	Puffins	Porg	Porg	Luke Skywalker	
After Muppets creator Jim Henson declined the opportunity from George Lucas, he recommended what colleague to accept the role of puppeteer and voice actor for the Jedi Master Yoda?	Frank Oz	John Williams	George Lucas	Frank Oz*	
In the Star Wars universe, most residents of the planet Shili, including Jedi Master Shaak Ti and Padawan Ahsoka Tano, are members of what sentient humanoid species?	Togruta	Shilians	Togrutas*	Twi'leks	
"Rey, the scavenger-turned-Jedi in the Star Wars \sequel"" trilogy, is first shown on what planet?"""	Jakku	planet Uranis	Galactic Empire	Skywalker Station	
"Appearing in \The Last Jedi,"" the character Slowen Lo is named for the song ""Slow and Low"" from the 1986 album ""Licensed to Ill"" by what hip-hop group?"""	The Beastie Boys	Drake	Beastie Boys*	Slowen Lo	
Twelve years after his character fell and died in Mount Doom in 'The Lord of the Rings: The Return of the King', what actor voiced the First Order's Supreme Leader Snoke in the 2015 film 'Star Wars: The Force Awakens'?	Andy Serkis	christopher mccartney	Darth Sidious	Snoke	
In 2016's 'Rogue One', Felicity Jones played what character, the daughter of the designer of the Death Star who becomes a leader in the Rebel Alliance after being rescued from detention by the Empire?	Jyn Erso	sarah savage	Jyn Erso*	Jyn Erso*	
What character is responsible for the death of Jabba the Hutt in Return of the Jedi?	Leia	samurai warrior	Leia Organa*	Leia Organa*	
"The film Fanboys (2009) tells the tale of a group of friends who travel across the country to break into Skywalker Ranch and steal a copy of what Star Wars film before its release? Please give just the name, not the episode number, and no need to include the words \Star Wars."""	The Phantom Menace	Star Wars	Star Wars may also refer to:	The Star Wars Movies	
"What was Luke Skywalker's last name in the original script for \Star Wars: A New Hope?"" The name went on to be used for a military base similar to the Death Star in ""Star Wars: The Force Awakens."""	Starkiller	Skywalker	Star Wars	Skywalker	
Which 2005 addition to the Star Wars movie universe was the first of the films to be entirely shot in a studio?	Star Wars: Episode III - Revenge of the Sith	Star Wars Rebels	Indiana Jones	Indiana Jones and the Last Crusade	
What Star Wars actor, known for his environmental conservation work, has both a spider species and an ant species named after him?	Harrison Ford	Luke Skywalker	Lucas Gunn	Silver ant	
"For the planet Crait in \The Last Jedi,"" filiming was done at Salar de Uyuni, the world's largest salt flat. This real-life place is found in what South American nation?"""	Bolivia	boliva*	Alderaan	Antares	
"What is the name of the horned, clawed white-furred species of snow monster found on the icy planet that was home to the Rebel Alliance's temporary Echo Base in \The Empire Strikes Back""?"""	Wampas	snow beast	wampas*	Hoth wampa*	
"What Asian-American actress rose to prominence after playing the character of Rose Tico in \The Last Jedi"" and ""The Rise of Skywalker?"""	Kelly Marie Tran	Kristina Henrique	Paige	Paige O'Hara	
The planet Alderaan is well known to 'Star Wars' fans for being the home of Bail Organa and what adopted daughter of his, who would rise above her royal ranks to become in essence the leader of the Rebel Alliance?	Leia Organa	princess anne of aaeeeeeeeeeeeee	Breha Organa	Breha Organa	
"Who was the senator from Naboo when Amidala was queen in \Star War: Episode 1?"""	Palpatine	sae sae	Padmé Amidala	Padmé Amidala	
"In \The Phantom Menace,"" Shmi and Anakin Skywalker are both slaves of what Todarian owner of a second-hand goods store on Tatooine?"""	Watto	Tyranus Ackbar	Watto*	Watto*	
"Killed by Tusken Raiders on her home planet of Tatooine during \Attack of the Clones,"" what was the first name of Annakin's mother?"""	Shmi	anna	Shmi*	Shmi*	
What actor was the only performer to earn an acting nomination for an Oscar in a Star Wars film? Note: we are looking for the actor, not the character.	Alec Guinness	Who is the actor who earned an Oscar nomination for an Oscar in a Star Wars film	George Lucas	Peter Cushing	
"Already familiar with marshaling from \Justified"" and ""Fargo"" what actor played pseudo-law dude Cobb Vanth on ""The Mandalorian"" episode, ""The Marshal""?"""	Timothy Olyphant	Jason Fry	john dillinger	Bradley Cooper	
"In \Rogue One, "" the Empire loots J_____ City city to acquire Kyber crystals for powering the Death Star. What word fills in the blank?"""	Jedha	sanchez	Holy	Holy	
What popular Star Wars side character made his first appearance in an animated segment during the 'Star Wars Holiday Special' (1980), saving Luke Skywalker and others from a giant monster? He was born on the planet Kamino.	Boba Fett	samuel sai	Boba Fett*	Han Solo	
Which Star Wars villain was originally played by Declan Mulholland in A New Hope, before the scene was cut and the character completely reimagined?	Jabba the Hutt	savage savage	Jabba the Hutt*	Heater Heater	
"Fill in the missing location from this Darth Sidious quote: \When you arrive on ______, find the place where the dark side calls to you. Draw upon the energy thereÃ¢ÂÂcombine its power with your own. ThenÃ¢ÂÂ¦ use it."""	Mustafar	Dark Side	the dark side of the Force	Sith world of Bogan	
"What is the name of the character played by Laura Dern in The Last Jedi whose namesake \manouevre"" is essentially kamikaze attack done at lightspeed?"""	Amilyn Holdo	Luke Skywalker	Vice Admiral Amilyn Holdo*	Dern Dern	
"At Wimbledon in 2022, Ons Jabeur became the first African woman to reach a Grand Slam singles final in the Open Era. She's from what way northern African country that doubled as Tatooine in \Star Wars""?"""	Tunisia	Tatooine	Kenya	Tatooine	
To make the TIE Fighter sound extra terrifying, legendary sound designer Ben Burtt combined the sound of cars on wet pavement with the sound of what formidable animal?	Elephant	lion	Darth Vader	Wilhelm	
A kerfuffle over the Darksaber and control of Mandalore sparked what Imperial genocide with a name similar to a horror franchise?	The Great Purge	Mandalore Massacre	Clone Wars	Mandalore massacre	
What was the original title of Return of the Jedi? This title was used in a teaser trailer in 1982, as well as promotional posters, until George Lucas changed his mind.	Revenge of the Jedi	Return of the Jedi	Return of the Jedi	Return of the Jedi	
Which 2019 Star Wars sequel directed by J.J. Abrams centered on the epic showdown between the Resistance and Kylo Ren, and starred Carrie Fisher, Mark Hamill, Adam Driver, and Daisy Ridley?	Star Wars: The Rise of Skywalker	smugglers	The Force Awakens	Kylo Ren	
"Before making \A New Hope,"" George Lucas had sought to license the rights to a pulp-hero with a two-word name. This ""speedy"" hero's story eventually inspired many elements of the first Star Wars film. Who is this hero?"""	Flash Gordon	Pulp-hero	Speedy	George Lucas	
2021 saw the release of a Lego Star Wars app on Apple Arcade, featuring PvP fights between live players, with what 'B' name? The name reminds fans of famous moments on Hoth, Naboo, and Yavin.	Lego Star Wars Battles	Lego Star Wars	The Empire Strikes Back	AT-AT walkers	
What two word name is given to the cantina on Tatooine where Luke Skywalker and Obi-Wan Kenobi first encounter Han Solo? It's a hangout for a lot of seedy alien criminal types.	Mos Eisley Cantina	Mandalore's Tavern	Charity and that of charity	Solo is a smuggler who is looking for a new home.	
Aurebesh is the writing system used to represent what spoken-word language that is the most commonly referenced language in the 'Star Wars' films?	Galactic Basic	swazi	Galactic Basic Standard*	Galactic Basic Standard*	
"What is the name of the series of Star Wars video games that began on the Nintendo 64 console in 1998 as one of the first games for the console that supported \Expansion Pak"" which enabled higher-quality graphics?"""	Rogue Squadron	Star Wars Galaxies	Super Star Wars	Super Star Wars	
"In the movie \Star Wars"", R2D2 claimed he was the property of Obi-Wan Kenobi but C3PO disagreed. Who did C3PO claim was their former master?"""	Captain Antilles	Obi-Wan Kenobi	Darth Vader	George Lucas	
In filming the original 'Star Wars,' George Lucas employed the use of mirrors and what substance to film the hover effect for Luke Skywalker's speeder? (Looking for a specific brand here!)	Vaseline	mirrors	Star Wars may also refer to:	George Lucas	
Where were the majority of the exterior scenes of Tatooine filmed in the original 'Star Wars' trilogy?	Tunisia	saiguana	Cantinas around the galaxy	Tatooine	
In this infamous 1978 'Star Wars Holiday Special', Han Solo joins Chewbacca on the Wookiee's home planet Kashyyyk to celebrate what holiday?	Life Day	christmas	Life Day*	Life Day*	
What Star Wars mobile game allows you to collect characters from both the light and dark sides, such as Luke Skywalker and Darth Vader, then play them in RPG-style combat?	Galaxy of Heroes	saga of lightsabers	Lightsaber Dueling Pack	Luke Skywalker	
What is the idyllic-sounding name of the starcruiser where you can have a two-night immersive experience at Walt Disney World Florida, including lightsaber lessons and a view of space from your cabin?	Halcyon	sailor sailor	,	Walt Disney Dream Cruiser	
"Featuring noted rogue Han Solo's proposal to Princess Leia, the 2022 latest Star Wars novel is called \The Princess and the"" WHAT?"""	Scoundrel	Leia	Battle of Endor have been rediscovered	Han Solo and Leia Organa	
Before he played young Anakin Skywalker in 'Star Wars Episode I: The Phantom Menace' (1999), which actor got his big break playing Arnold Schwarzenegger's son in the holiday comedy, 'Jingle All the Way' (1996)?	Jake Lloyd	jackson scott	Joe Hewetson	Williams	
Though she gave it to Obi-Wan shortly before she died, PadmÃÂ© was buried with a good luck charm that had been made by Anakin. It was made from japor ivory wood, a type of wood from what planet?	Tatooine	Sirius Coruscant	Tatooine*	Tatooine*	
In November 2022, Lucasfilm announced the cast for what religious-sounding upcoming Star Wars original TV series that will be set during the High Republic era?	The Acolyte	shamad	The Mandalorian	Mandalorian	
"Neophyte Jedi Luke whines to Obi-Wan in \A New Hope"" that what blocking structure keeps him from seeing during his Millennium Falcon lightsaber practice?"""	Blast Shield	the eyes	Death Star	Artoo Bridge	
"Mostly known for playing Cliff Clavin on the sitcom \Cheers,"" actor John Ratzenberger played Rebel Major Bren Derlin in which Star Wars film?"""	The Empire Strikes Back	bounty hunter 0	shamad	Bren Derlin	
What is the name of the large omnivorous cephalopods from the planet Vodran, having seven suckered tentacles, an eyestalk, a mouth of sharp teeth and several hearts?	Dianoga	squid	Dianoga*	Dianoga*	
What's the name of the tree-covered planet that Wookies call home?	Kashyyyk	saturn	Wasskah	Tartooine	
With long limbs, lozenge-shaped furry bodies, and a name that contains lots of letters from the end of the alphabet, what species of Endor included Joh Yowza and Wam Lufba?	Yuzzum	squid	Yuzzum*	Yuzzum Yuzzums*	
Since it was released in November of 1976, 'Star Wars: From the Adventures of Luke Skywalker' actually came before the first Star Wars film, which it was a tie-in for. What kind of media was it?	Novel	film	video game	published in book*	
Parker Brothers released the first officially licensed Star Wars video game in 1982 on which console?	Atari 2600	console x	Atari Atari	AT&T VX	
"What much-reviled \Star Wars"" character is a Twi'lek who served for decades as majordomo and chief of staff to Jabba the Hutt?"""	Bib Fortuna	savage savage	Bib Fortuna*	Fortuna*	
What is Jedi Master Yoda's last name in the Star Wars franchise?	He doesn't have one	walker	Del Gormo	Del Gormo	
"Grand Moff Tarkin, the commander of the Death Star and loyal advisor to Darth Vader in \Star Wars: Episode IV"", was played by legendary British actor, probably otherwise best known for dueling with Christopher Lee in a series of Hammer horror films?"""	Peter Cushing	who played Tarkin in the film?	Peter Cushing*	Peter Cushing*	
What 'Pulp Fiction' actor was George Lucas' second choice to play Han Solo and would have taken the role had Harrison Ford declined it?	Christopher Walken	charlie harris	Harrison Ford	Harrison Ford	
"A British prince and the First Son of the U.S. fall in love despite enthusiastically disagreeing on which \Star Wars"" movie is the best, in what bestselling 2019 novel by Casey McQuiston?"""	Red, White, & Royal Blue	The Princess and the Wookiee	Elizabeth Hand	Millennium Falcon	
The language spoken by the Ewoks is a combination of two real-life languages. With one guess, name either of these languages.	Tibetan and Nepalese	Ewok or Ewok	Galactic Basic	Bocce or Catharese	
